;marca;preco
54;Placa Mae Gigabyte B550 Aorus Master 1.0;R$ 3.020,31
55;Placa Mãe Duex, Dx H110z, Intel 6 Geração, Ddr4, Lga1151;R$ 477,66
56;Placa Mãe Integrada Pcware Ipx4020e, Celeron Dual Core N4020 2.8GHZ, DDR4 So-dimm, HDMI, M.2 2280;R$ 545,12
57;Placa Mãe Gigabyte B660 Gaming X, Ddr5, Atx, Lga1700;R$ 1.872,04
58;Placa Mãe Micro Atx Pcware Intel Ipmh310g 1151 VGA, HDMI, DDR4;R$ 411,84
59;Placa Mãe Afox IH310C-MA2, Intel 8º e 9º Geração, LGA1151, DDR4;R$ 503,01
60;Placa Mae Gigabyte A520m Aorus Elite Socket AM4 DDR4, 1.0;R$ 825,21
61;Placa Mãe Galax H310M Plus+, Chipset H310 Intel LGA 1151, Matx DDR4;R$ 579,00
62;Placa Mãe Asus PRIME Z590M-PLUS, Intel Z590 LGA1200, mATX, DDR4 - 90MB1690-M0EAY0;R$ 1.959,00
63;Placa Mãe Gigabyte Intel LGA 1151, DDR4, Micro ATX, H310M H 1.1;R$ 565,47
64;Placa Mãe Gigabyte Z490 Aorus Master Lga 1200 Atx Ddr4 - 9az49mstr-00-11;R$ 3.731,31
65;Placa Mãe, Brazilpc, FM2 BPC-A88M, AMD FM2+, Micro-ATX, DDR3, OEM;R$ 310,45
66;Placa Mãe Asus B660m-k Prime, DDR4, Micro-ATX, LGA1700;R$ 885,60
67;Placa Mãe Brazilpc Bpc-h55m-v1 Desktop 1156 Socket: 1156, 2 slots DDR3;R$ 330,14
68;Placa Mae Intel 1151 H110  Knup,M.2 2x,DDR4 Hdmi/vga 6ª E 7°ª G Kp-h110;R$ 450,00
69;Placa Mãe Gigabyte Aorus Z490i Aorus Ultra Lga 1200 Mini Itx  Wifi Ddr4 - 9mz49arsi-00-11;R$ 2.899,00
70;Placa Mãe Gigabyte B550 Vision, D-p AM4 Atx DDR4 - 9mb55vsdp-00-10;R$ 3.086,91
71;Placa Mãe Asus, Tuf B660m-plus D4, DDR4, Micro-atx, Lga1700;R$ 1.510,11
72;Placa Mãe Gigabyte Z690 Aorus Elite Ax, DDR4, ATX, Lga1700;R$ 3.136,41
73;Placa Mãe Galax B550M AMD AM4 DDR4 mATX - AB550MAGCHY1CW;R$ 873,26
74;Placa Mãe Duex Dx H61z, Intel Segunda/Terceira Geração, Ddr3, Lga1155;R$ 340,55
75;Placa Mãe Desktop, 1156, Cyb-21-gh55, DDR3, 16GB - Isync;R$ 363,03
76;Placa Mãe Intel 1151, H370m, Hdv 2xddr4, HDMI/DVI/VGA, 9 G - H370m-hdv Asrock;R$ 562,32
77;Placa Mãe Kazuk Lga 1150, H81 Ddr3, 16gb Hdmi - Kzkh81-b;R$ 517,41
78;Placa Mãe Asus A68hm-k, DDR3, Fm2, Chipset A68, Pcie 3.0, USB 3.0;R$ 588,00
79;Placa Mãe Galax B450m AMD, Socket AM4 M-Atx - AB450magchj1cw;R$ 744,61
80;Placa Mae Lga 1151 H110z Ddr4 Box Duex;R$ 559,99
81;Placa Mae Intel 1151 H310mhp Ddr4 Hdmi/vga 9a Geração H310mhp Biostar;R$ 440,00
82;Placa Mãe Isync H61 Lga 1155 Rede 10/100/1000;R$ 569,00
83;Placa Mãe Gigabyte B560 Aorus Pro Ax Lga1200 Wi-fi Atx Ddr4;R$ 1.583,01
84;Placa Mãe, Afox Ih61-ma2 H61 1155 Ddr3 2 E 3 Geração Hdmi.;R$ 370,00
85;Placa Mãe Gigabyte, Z690 Ud, DDR5, ATX, LGA1700;R$ 2.091,51
86;Placa Mae Intel 1151 H310m-hdv 2xddr4 Hdmi/dvi/vga 9 Geracao H310-hdv/m.2 Asrock;R$ 466,88
87;Placa Mãe Duex Dx H61m Ddr3 Socket Lga1155 Chipset Intel H61 Dx-h61m;R$ 499,99
88;Placa Mãe BPC, Bpc-78 Oafx1-G V2.1, Chipset AMD 760G/SB710, AM3+, mATX, DDR3 - OEM;R$ 393,75
89;Placa Mãe Micro ATX AFOX AMD Ryzen AM4 AMD A320 VGA, HDMI, USB 3.0, DDR4 - A320-MA-V2;R$ 544,50
90;Placa Mãe Gigabyte H310M-M.2, LGA1151 8a Geração;R$ 513,79
91;Placa Mãe Asrock B550 Phantom Gaming-itx/ax Amd Soquete Am4;R$ 2.699,00
92;Placa Mae Asus Rog Maximus Xii Formula 1200, ddr4, m2, ATX;R$ 4.646,61
93;Placa Mãe ASRock A320M-HD, Chipset A320, AMD AM4, mATX, DDR4;R$ 471,45
94;Placa Mae Login Log-h310m-g Ddr4 1151 8a Geracao Intel;R$ 549,00
95;Placa Mãe Lga 1156 DDR3 H55z Duex;R$ 449,99
96;Placa Mãe Pcware, Apm-a520g DDR4 Socket Am4;R$ 437,36
97;Placa Mãe Oxybr, Lga 1151, Ddr4, H110;R$ 487,90
98;Placa Mãe Asus Itx J1800i-c/br Celeron;R$ 641,00
99;Placa Mãe 1155 Lga B75 Ffl Desktop Ddr3 C/ Espelho;R$ 449,99
100;Placa Mãe Pcware Intel, LGA1200, M-ATX, DDR4 - Ipmh510g.;R$ 642,17
101;Placa Mãe, Gigabyte, Z690 Aero G DDR4, Chipset Z690, Intel LGA 1700, ATX, DDR4;R$ 3.252,51
102;Placa Mãe Kazuk Lga775 G41 Ddr3 8gb - 1333mhz;R$ 420,07
103;Placa Mãe Kazuk Lga 775 G41 Ddr3 8gb - Kzkg41-b;R$ 420,07
104;Placa Mãe Kazuk - Intel G41 Ddr3 Lga 775 - 8gb - 1333mhz;R$ 420,07
105;Placa Mãe Gigabyte Z690 UD DDR4, Chipset Z690, Intel LGA 1700, ATX, DDR4;R$ 2.091,51
106;Placa Mãe, Brazilpc, AM4 BPC-A320M-E, Oem;R$ 439,68
107;Placa Mae Desk Brazilpc 1155 Bpc-h61c-v4 Oem;R$ 366,53
108;Placa Mae Gigabyte B550m Ds3h 1.1;R$ 1.697,45
109;Placa Mae Asus H310m-e/br Prime Lga 1151 Ddr4 Matx 8 Geração;R$ 645,19
110;Placa Mãe Desktop, 1155, Cyb-21-gh61, DDR3, 16GB - Isync;R$ 470,00
111;Placa Mãe Intel 1200 H510m 2xDDR4 HDMI/DVI/VGA11ª Geraçao - H510m-hdv Asrock;R$ 614,82
112;Placa Mae Lga 1151 Dh110mxv R3v Ddr3 Oem Foxconn;R$ 441,15
113;Placa Mãe Desktop 1156 Ddr3 Isync;R$ 363,03
114;Placa Mãe, Intel, Afox H110-ma4 Lga 1151 Ddr4 Lga 1151.;R$ 603,00
115;Placa Mae Intel 1200 H510m HDV M.2 2X DDR4, HDMI/DVI/VGA 10ªg H510m-hdv/m.2 Asrock;R$ 689,63
116;Placa Mãe Gigabyte H310M H 2.0, Micro ATX, DDR4 Intel Lga 1151, HDMI;R$ 619,00
117;Placa Mãe BrazilPC LGA1150, DDR3, BPC H81M-JEL;R$ 410,00
118;Placa Mae Intel 1151 B365m Pro4 4xddr4 9a Geração B365m Pro4 Asrock;R$ 818,40
119;Placa Mãe H81, LGA 1150 - OxyBr;R$ 409,90
120;Placa Mãe Oxybr, H310, Lga 1151;R$ 523,90
121;Placa Mãe Kazuk Lga 1150 H81 Ddr3 16gb Hdmi - Kzkh81-b;R$ 517,41
122;Placa Mãe Asus, Z690m-plus, Prime D4  Intel Lga 1700 - DDR4;R$ 2.021,98
123;Placa - Mãe, Gigabyte, B560m, Aorus Pro Ax, 1.0;R$ 1.469,61
124;Placa Mae Intel 1200 H510pro Btc+ 1xddr4 Hdmi 10 Geraçao H510probtc+ Asrock;R$ 2.079,00
125;Placa Mãe Ipmb360 Pro 8ª E 9ª Geração, LGA 1151, DDR4, 2133MHz - Pcware;R$ 498,95
126;Placa Mãe Msi A320m Pro-m2 V2 Socket Am4 Ddr4 Chipset A320.;R$ 534,57
127;Placa Mãe Asrock H510m-hvs, Intel Lga 1200 Matx;R$ 670,00
128;Placa Mae Intel 1150 H81 2xddr3 Hdmi/vga 5ª Geração H81-355u Foxconn;R$ 397,75
129;Placa Mãe Gigabyte Z690 Gaming X, Chipset Z690, Intel, Lga 1700 Atx, DDR4;R$ 2.229,29
130;Placa Mae Intel 1200, B560, 2xDDR4, HDMI/VGA, 11 Geração, B560MHP, Biostar;R$ 664,40
131;Placa Mae Intel 1200, H510, 2xDDR4, HDMI/VGA, 11 Geração, H510mhp, 2.0 Biostar;R$ 577,50
132;Placa Mãe 1155 H61 - Taicon;R$ 350,55
133;Placa Mãe Para Notebook Sony Vaio Fit Hkda Dahkdamb6a0;R$ 399,00
